id,DAY,TEMPERATURE_MAX,TEMPERATURE_MIN,TEMPERATURE_AVG,WINDSPEED,VAPOR_PRESSURE,PRECIPITATION,ET0,RADIATION
325,20051121,3.8,-5.7,-1,2,5.83,0,.28,4867
326,20051122,4.1,-.9,1.6,5,5.48,0,.69,7663
327,20051123,3.8,-2.3,.8,5.2,5.18,0,.77,5330
328,20051124,1.7,-2.1,-.2,3.4,5.38,5.3,.47,2982
329,20051125,4,-1.4,1.3,4.2,5.58,.5,.56,5530
330,20051126,3,-3.6,-.3,3.5,5.33,.9,.4,4952
331,20051127,3,-1.9,.5,4.2,6.23,2.2,.3,2584
332,20051128,2.4,.2,1.3,3.9,6.58,3.1,.31,2377
333,20051129,2.3,.7,1.5,2.2,6.73,2.5,.26,2353
334,20051130,2.6,-1.1,.8,2,5.53,0,.43,2682
335,20051201,2.4,-5.1,-1.4,2,4.98,.1,.3,4185
336,20051202,7.1,-3.2,2,3.4,7.33,6.3,.32,2315
337,20051203,8.9,3,5.9,5.9,8.48,7,.68,2699
338,20051204,8.4,6.6,7.5,6.9,9.18,9.7,.83,2247
339,20051205,8.3,4.4,6.4,3.4,7.88,.8,.7,3555
340,20051206,4.1,.6,2.3,2.6,7.13,1.3,.27,2385
341,20051207,6,2.4,4.2,2.7,7.23,5.1,.5,2797
342,20051208,7.7,2.1,4.9,3.3,7.88,3.2,.47,2785
343,20051209,4.9,2.4,3.6,4.2,6.68,0,.66,3045
344,20051210,3.4,-1.3,1,3.9,5.23,0,.53,5519
345,20051211,3.1,-3.9,-.4,3.8,4.48,0,.52,6403
346,20051212,4,-3.6,.2,3.3,5.18,0,.38,5967
347,20051213,4.1,1.8,3,4.1,6.13,0,.65,3161
348,20051214,5,.6,2.8,3.1,6.43,0,.57,1918
349,20051215,6,1.7,3.9,2.4,7.43,.1,.42,2165
350,20051216,7,4.1,5.5,4.2,8.48,5.2,.47,2103
351,20051217,3.1,1.5,2.3,4.2,5.23,.4,.72,5056
352,20051218,1.6,-2.6,-.5,2.4,4.88,0,.46,2511
353,20051219,0,-5.2,-2.6,2.3,5.13,.8,.19,2092
354,20051220,0,-.4,-.2,1.4,5.78,0,.24,2091
355,20051221,.2,-2.3,-1.1,1.4,5.43,0,.24,2090
356,20051222,2,-1.9,0,.8,5.53,0,.19,3312
357,20051223,4.9,.6,2.7,1.4,6.73,0,.36,2426
358,20051224,2.4,.4,1.4,1.5,6.88,0,.2,2096
359,20051225,4.4,1.1,2.8,1.9,07.08,0,.31,2100
360,20051226,4.3,.4,2.4,2.5,5.83,2.6,.49,3923
361,20051227,-1.2,-2.7,-2,1.9,4.43,.8,.31,3431
362,20051228,-2.5,-7.6,-5,1.3,4.23,1.3,.14,2679
363,20051229,-2,-6.1,-4.1,1.5,3.58,0,.24,4523
364,20051230,-2.5,-10.9,-6.7,3.1,4.23,11.3,.05,2137
365,20051231,6.3,-2.5,1.9,4.9,8.18,2.6,.05,2203
366,20060101,4.9,2.3,3.6,4.8,7.73,6.3,.33,2273
367,20060102,5,2.7,3.8,3.4,7.28,0,.49,2201
368,20060103,4.3,1.4,2.8,2.7,6.28,0,.57,2728
369,20060104,.8,-2.7,-1,2.2,5.38,0,.28,3264
370,20060105,.8,-1.4,-.3,1.8,5.53,.7,.32,2218
371,20060106,1.9,-2.1,-.1,2,5.93,1.9,.24,2434
372,20060107,2.8,-.6,1.1,1.6,06.08,.5,.34,2254
373,20060108,4.6,.6,2.6,1.9,5.93,.1,.47,3850
374,20060109,4.6,-2.5,1.1,1.8,5.23,0,.39,5594
375,20060110,.9,-6.8,-3,1.3,4.58,0,.22,4430
376,20060111,.2,-5,-2.4,2.2,5.28,1.9,.17,3593
377,20060112,2.6,-1,.8,1.4,6.63,0,.23,2363
378,20060113,5.3,-.7,2.3,2.1,5.63,0,.5,4955
379,20060114,6.5,-5.4,.6,2.2,4.68,0,.56,7086
